,ConstituencyName,RegionName,MedianHPrice,MedianWeeklyWage,YearlySalary,Housepriceincreaseover5years,%Growth5years,%affordability,Component 1,Component 2
87,Cambridge,East of England,450750,499,25964,5150,1,6,0.956474488837093,0.09895223066178238
88,Cannock Chase,West Midlands,190526,531,27607,5305,3,14,-0.49963373959747326,-0.7693786174354079
89,Canterbury,South East,332050,490,25454,4410,1,8,0.2151335520201457,-0.2948073334173802
90,Carlisle,North West,132000,473,24601,0,0,19,-1.7564563327979954,-2.3629305981905793
91,Carshalton and Wallington,London,415000,488,25366,11000,3,6,0.6959185595412836,1.5008668900356639
92,Castle Point,East of England,337000,620,32214,8400,3,10,1.6658128092962081,-0.520990716030136
93,Central Devon,South West,285000,471,24476,7000,3,9,-0.42874727978105065,0.609073886532227
94,Central Suffolk and North Ipswich,East of England,292500,421,21876,5500,2,7,-0.8099139983219509,0.7662776702756611
95,Charnwood,East Midlands,260000,496,25776,7000,3,10,-0.2781023031007375,0.2561736711709528
96,Chatham and Aylesford,South East,268500,521,27087,4250,2,10,0.0830883106661007,-0.6077098887150456
97,Cheadle,North West,325000,481,24991,9000,3,8,0.022056060595325024,0.9565061039776201
98,Chelmsford,East of England,350000,500,26000,7000,2,7,0.48860495851873714,0.3678384128865341
99,Chelsea and Fulham,London,1150000,575,29895,28000,3,3,5.392659269908031,4.561443497367013
100,Cheltenham,South West,280000,566,29442,4400,2,11,0.6271454432184694,-1.0593859144669393
101,Chesham and Amersham,South East,637500,526,27368,18500,3,4,2.4838610923212037,2.751368282331951
102,Chesterfield,East Midlands,179000,464,24133,5800,4,13,-1.4319730469891994,0.23568548106004872
103,Chichester,South East,385000,490,25496,4000,1,7,0.47122810861670805,-0.17926429773403363
104,Chingford and Woodford Green,London,490500,613,31897,8100,2,7,2.4932111488662154,-0.25482876173826136
105,Chippenham,South West,280000,497,25828,3200,1,9,-0.016511732057969335,-0.7018943830214313
106,Chipping Barnet,London,624000,419,21793,16800,3,3,1.050917441906057,3.531300190726953
107,Chorley,North West,175500,468,24315,2300,1,14,-1.2476640290399914,-1.196292869989616
108,Christchurch,South West,405000,487,25314,9101,3,6,0.5593888883597753,1.228040768541396
109,Cities of London and Westminster,London,1175000,524,27227,-5000,0,2,3.745827720571471,-0.28252118685250127
110,City of Chester,North West,237250,491,25506,4000,2,11,-0.5198713918762538,-0.5171245313825406
111,City of Durham,North East,148000,476,24768,-100,0,17,-1.484047543838301,-2.1955322767694736
112,Clacton,East of England,250000,540,28085,6400,3,11,0.145581198926411,-0.32653621821677736
113,Cleethorpes,Yorkshire and The Humber,165000,459,23842,3305,2,14,-1.4883847360452678,-0.7218129662298414
114,Colchester,East of England,267750,406,21086,4950,2,8,-1.2078665953862822,0.6916443422133443
115,Colne Valley,Yorkshire and The Humber,186000,539,28038,4200,3,15,-0.5520465704370315,-1.0948904873236183
116,Congleton,North West,230000,527,27399,2000,1,12,-0.12287799637542708,-1.4911344677394915
117,Copeland,North West,135000,730,37965,-1000,-1,28,0.8749149919758128,-5.867349809143637
118,Corby,East Midlands,235000,477,24778,6000,3,11,-0.7503728062759554,0.15358509646809954
119,Coventry North East,West Midlands,190000,460,23899,5600,3,13,-1.3251560484172307,-0.007709841952208129
120,Coventry North West,West Midlands,215000,499,25932,8000,5,12,-0.7954433026401795,0.6554784274673424
121,Coventry South,West Midlands,227000,489,25402,7400,4,11,-0.6892019803891775,0.5010761514923634
122,Crawley,South East,316000,610,31704,4800,2,10,1.4301145674410245,-1.2412609112128425
123,Crewe and Nantwich,North West,185623,536,27882,3525,2,15,-0.4897875971667687,-1.4340265978545312
124,Croydon Central,London,377500,909,47289,2546,1,13,5.300466872751978,-4.652464810048975
125,Croydon North,London,365000,728,37872,5000,1,10,3.2842588569763413,-2.4522980395783294
126,Croydon South,London,462250,516,26837,5900,1,6,1.2513139982543708,0.07280392894501408
127,Dagenham and Rainham,London,380000,572,29754,12400,4,8,1.4258272926614488,0.9830403821068942
128,Darlington,North East,130250,504,26208,250,0,20,-1.4377352925600015,-2.696266296050862
129,Dartford,South East,340600,579,30113,5120,2,9,1.2175346033163892,-0.7929307903093075
130,Daventry,East Midlands,295000,433,22537,3000,1,8,-0.7149061364713882,-0.051040243764367485
131,Denton and Reddish,North West,190000,439,22823,8900,6,12,-1.7539330005645595,1.5419630909669026
132,Derby North,East Midlands,184000,525,27316,6000,4,15,-0.7903952914731923,-0.45226849163293825
133,Derby South,East Midlands,160000,550,28584,6001,5,18,-0.9574357920507792,-0.713278576778314
134,Derbyshire Dales,East Midlands,290000,528,27456,6000,2,9,0.4216601405517903,-0.2992019053323748
135,Devizes,South West,330000,473,24570,10010,4,7,-0.06173724748376434,1.5392907979501476
136,Dewsbury,Yorkshire and The Humber,189000,481,24996,6600,4,13,-1.1410962409299394,0.2149785598607882
137,Don Valley,Yorkshire and The Humber,162500,453,23577,5150,4,15,-1.8425443939217352,0.031062840261112824
138,Doncaster Central,Yorkshire and The Humber,148000,494,25698,3800,3,17,-1.46935220785117,-0.9967738893698903
139,Doncaster North,Yorkshire and The Humber,140000,469,24404,4201,4,17,-1.9376539620111841,-0.4621346073005083
