ConstituencyName,RegionName,MedianHPrice,MedianWeeklyWage,YearlySalary,Housepriceincreaseover5years,%Growth5years,%affordability
Luton South,East of England,276000,503,26177,10200,4.533333333,9.48442029
Macclesfield,North West,260000,536,27851,4000,1.666666667,10.71192308
Maidenhead,South East,520000,613,31897,14000,3.111111111,6.134038462
Maidstone and The Weald,South East,326000,541,28111,7200,2.482758621,8.623006135
Makerfield,North West,160000,426,22136,6000,4.615384615,13.835
Maldon,East of England,370000,531,27607,7000,2.089552239,7.461351351
Manchester Central,North West,215000,613,31886,8000,4.571428571,14.83069767
"Manchester, Gorton",North West,185000,553,28746,7575,5.148683093,15.53837838
"Manchester, Withington",North West,290000,454,23587,6000,2.307692308,8.133448276
Mansfield,East Midlands,161550,536,27877,5710,4.293233083,17.25595791
Meon Valley,South East,355000,517,26905,8000,2.53968254,7.578873239
Meriden,West Midlands,299973,387,20103,5645,2.077092916,6.701603144
Mid Bedfordshire,East of England,350000,472,24534,4800,1.472392638,7.009714286
Mid Derbyshire,East Midlands,238500,451,23431,8700,4.461538462,9.824318658
Mid Dorset and North Poole,South West,365000,479,24918,10425,3.332001598,6.826849315
Mid Norfolk,East of England,260000,609,31647,5000,2.127659574,12.17192308
Mid Sussex,South East,395000,541,28106,9010,2.574653522,7.115443038
Mid Worcestershire,West Midlands,275000,582,30264,2800,1.072796935,11.00509091
Middlesbrough,North East,110000,450,23384,1,0.000909132,21.25818182
Middlesbrough South and East Cleveland,North East,160000,480,24955,1000,0.64516129,15.596875
Milton Keynes North,South East,290000,646,33566,2001,0.714655619,11.57448276
Milton Keynes South,South East,312500,582,30259,6500,2.321428571,9.68288
Mitcham and Morden,London,433250,410,21304,9650,2.506493506,4.917253318
Mole Valley,South East,575000,575,29895,14000,2.772277228,5.199130435
Morecambe and Lunesdale,North West,175000,465,24154,6400,4.475524476,13.80228571
Morley and Outwood,Yorkshire and The Humber,204995,492,25563,6399,3.698843931,12.47006025
New Forest East,South East,330000,510,26504,8010,2.762545266,8.031515152
New Forest West,South East,419250,467,24305,10850,2.97260274,5.797257007
Newark,East Midlands,235725,441,22953,5445,2.611510791,9.737193764
Newbury,South East,345000,688,35755,2800,0.84592145,10.36376812
Newcastle upon Tyne Central,North East,150000,546,28387,1600,1.126760563,18.92466667
Newcastle upon Tyne East,North East,167000,528,27472,3400,2.266666667,16.4502994
Newcastle upon Tyne North,North East,185000,421,21866,2000,1.142857143,11.81945946
Newcastle-under-Lyme,West Midlands,165000,537,27903,6000,4.444444444,16.91090909
Newton Abbot,South West,265000,461,23993,5600,2.362869198,9.053962264
"Normanton, Pontefract and Castleford",Yorkshire and The Humber,158500,550,28590,2700,1.862068966,18.03785489
North Cornwall,South West,275000,480,24976,9000,3.913043478,9.082181818
North Devon,South West,275000,474,24632,8500,3.655913978,8.957090909
North Dorset,South West,330000,489,25449,9000,3.157894737,7.711818182
North Durham,North East,115000,452,23509,-200,-0.172413793,20.4426087
North East Bedfordshire,East of England,330000,517,26889,2400,0.754716981,8.148181818
North East Cambridgeshire,East of England,225000,476,24752,7000,3.684210526,11.00088889
North East Derbyshire,East Midlands,207000,499,25938,5000,2.747252747,12.53043478
North East Hampshire,South East,460000,642,33368,10000,2.43902439,7.253913043
North East Hertfordshire,East of England,375000,483,25116,6000,1.739130435,6.6976
North East Somerset,South West,315000,493,25626,6000,2.105263158,8.135238095
North Herefordshire,West Midlands,287000,458,23816,6400,2.509803922,8.29825784
North Norfolk,East of England,293000,539,28018,8600,3.44,9.562457338
North Shropshire,West Midlands,225000,460,23910,6250,3.225806452,10.62666667
North Somerset,South West,358750,522,27128,6750,2.076923077,7.561811847
North Swindon,South West,244500,484,25173,2900,1.260826087,10.29570552
North Thanet,South East,305000,440,22890,11400,4.596774194,7.504918033
North Tyneside,North East,150000,474,24664,1500,1.052631579,16.44266667
North Warwickshire,West Midlands,224950,486,25262,9000,5.001389275,11.23005112
North West Cambridgeshire,East of England,245000,479,24929,6000,2.790697674,10.17510204
North West Durham,North East,125500,442,23005,1700,1.452991453,18.33067729
North West Hampshire,South East,318000,518,26957,2705,0.888414484,8.477044025
North West Leicestershire,East Midlands,230000,502,26099,5000,2.43902439,11.3473913
North West Norfolk,East of England,245000,524,27248,7300,3.501199041,11.12163265
North Wiltshire,South West,310000,519,26962,3700,1.269296741,8.697419355
Northampton North,East Midlands,233250,559,29063,6651,3.32558314,12.46002144
Northampton South,East Midlands,222000,506,26328,7400,4,11.85945946
Norwich North,East of England,235000,477,24794,5600,2.70531401,10.5506383
Norwich South,East of England,235000,502,26078,5200,2.488038278,11.09702128
Nottingham East,East Midlands,162500,488,25366,7500,6,15.60984615
Nottingham North,East Midlands,155000,441,22942,7000,5.833333333,14.80129032
Nottingham South,East Midlands,200000,475,24700,7950,4.96099844,12.35
Nuneaton,West Midlands,210000,574,29864,7600,4.418604651,14.22095238
Old Bexley and Sidcup,London,435000,518,26910,12000,3.2,6.186206897
Oldham East and Saddleworth,North West,180000,466,24222,9200,6.865671642,13.45666667
Oldham West and Royton,North West,160000,530,27539,8000,6.666666667,17.211875
Orpington,London,495000,528,27461,13200,3.076923077,5.547676768
Oxford East,South East,392500,607,31543,5500,1.506849315,8.036433121
Oxford West and Abingdon,South East,400000,625,32505,6000,1.621621622,8.12625
Pendle,North West,125000,468,24357,3400,3.148148148,19.4856
Penistone and Stocksbridge,Yorkshire and The Humber,190000,496,25802,4750,2.857074114,13.58
Penrith and The Border,North West,198875,508,26426,1775,0.934210526,13.28774356
Peterborough,East of England,202000,455,23634,6600,3.905325444,11.7
"Plymouth, Moor View",South West,185000,480,24950,4550,2.80431433,13.48648649
"Plymouth, Sutton and Devonport",South West,185000,489,25402,5000,3.125,13.73081081
Poole,South West,322000,546,28376,8800,3.165467626,8.81242236
Poplar and Limehouse,London,555000,1054,54813,11575,2.328388232,9.876216216
Portsmouth North,South East,257000,540,28101,7400,3.363636364,10.93424125
Portsmouth South,South East,231250,508,26411,6250,3.125,11.42097297
Preston,North West,120000,484,25184,4000,4,20.98666667
Pudsey,Yorkshire and The Humber,230000,469,24398,7000,3.58974359,10.60782609
Putney,London,600000,577,29994,2010,0.34070684,4.999
Rayleigh and Wickford,East of England,375000,477,24778,9000,2.727272727,6.607466667
Reading East,South East,359975,640,33254,4995,1.491044776,9.237863741
Reading West,South East,315000,591,30753,575,0.184221065,9.762857143
Redcar,North East,137000,426,22173,2000,1.57480315,16.18467153
Redditch,West Midlands,235000,489,25449,5000,2.380952381,10.8293617
Reigate,South East,459400,545,28335,11580,2.884184309,6.167827601
Ribble Valley,North West,199950,548,28501,2490,1.328,14.25406352
Richmond (Yorks),Yorkshire and The Humber,231000,439,22833,5200,2.536585366,9.884415584
Richmond Park,London,905000,548,28470,43400,6.308139535,3.145856354
Rochdale,North West,155000,422,21965,5500,4.31372549,14.17096774
Rochester and Strood,South East,290000,537,27929,7300,2.879684418,9.630689655
Rochford and Southend East,East of England,286750,460,23894,6550,2.578740157,8.332693984
Romford,London,413750,480,24934,10750,2.986111111,6.026344411
Romsey and Southampton North,South East,375000,563,29266,8000,2.388059701,7.804266667
